Name,Score,Review,Link,Addr
고반식당 가로수길점,3.7,160,https://place.map.kakao.com/1229874963,"
서울 강남구 강남대로156길 34 1층
(지번) 신사동 516-7
"
경복궁불고기 압구정점,3.7,17,https://place.map.kakao.com/14529630,"
서울 강남구 압구정로30길 51 I.S.A빌딩 지하1층
(지번) 신사동 600
"
르브런쉭,3.6,41,https://place.map.kakao.com/12684201,"
서울 강남구 강남대로162길 41-22 1층 102호
(지번) 신사동 524
"
무탄,,488,https://place.map.kakao.com/1696571508,"
서울 강남구 논현로176길 22 1층
(지번) 신사동 613-2
"
더앨리 가로수길점,3.3,65,https://place.map.kakao.com/527142044,"
서울 강남구 가로수길 75 1,2층
(지번) 신사동 532-10
"
루비떡볶이,3.2,175,https://place.map.kakao.com/20125427,"
서울 강남구 선릉로153길 21
(지번) 신사동 653-2
"
우시야,4.2,70,https://place.map.kakao.com/27150396,"
서울 강남구 논현로159길 11 1층
(지번) 신사동 566-29
"
가디록,3.7,53,https://place.map.kakao.com/617483759,"
서울 강남구 도산대로45길 18-4 2층
(지번) 신사동 650-5
"
와라야끼 쿠이신보,3.7,50,https://place.map.kakao.com/27415522,"
서울 강남구 도산대로15길 6
(지번) 신사동 539
"
쇼토,4.3,111,https://place.map.kakao.com/1745920539,"
서울 강남구 압구정로18길 14-6 1층
(지번) 신사동 550-14
"
커피라이터,4.5,25,https://place.map.kakao.com/884437781,"
서울 강남구 논현로161길 15 1층
(지번) 신사동 567-17
"
고디바 가로수길플래그쉽,3.8,55,https://place.map.kakao.com/19160580,"
서울 강남구 가로수길 46 1,2층
(지번) 신사동 545-6
"
딩딤1968,3.3,102,https://place.map.kakao.com/1332784474,"
서울 강남구 강남대로160길 27
(지번) 신사동 521-10
"
막이오름 가로수길점,3.7,106,https://place.map.kakao.com/90994097,"
서울 강남구 가로수길 10 2층
(지번) 신사동 541-17
"
우텐더,3.7,53,https://place.map.kakao.com/616148679,"
서울 강남구 압구정로42길 25-10
(지번) 신사동 643-20
"
빠레뜨한남 가로수길,3,482,https://place.map.kakao.com/1628436434,"
서울 강남구 논현로153길 61 2층
(지번) 신사동 542-1
"
안동국시,3.4,19,https://place.map.kakao.com/10583440,"
서울 강남구 언주로167길 46 제일빌딩 2층
(지번) 신사동 612-2
"
신사연어,3.5,78,https://place.map.kakao.com/26324314,"
서울 강남구 압구정로2길 60 MG타워 2층
(지번) 신사동 512-9
"
삼화식당1972,4.9,116,https://place.map.kakao.com/919194809,"
서울 강남구 강남대로152길 15
(지번) 신사동 512-17
"
타코벨 압구정점,2.6,9,https://place.map.kakao.com/1983387531,"
서울 강남구 압구정로28길 22 1층
(지번) 신사동 577-7
"
보울룸,3.9,262,https://place.map.kakao.com/1562438951,"
서울 강남구 압구정로42길 36 금광아크존1 1층 103호
(지번) 신사동 635-14
"
마구로젠 신사점,4.3,61,https://place.map.kakao.com/13096872,"
서울 강남구 논현로151길 20 태화빌딩 1층
(지번) 신사동 562-14
"
금성스테이크부대찌개,3.2,40,https://place.map.kakao.com/10215748,"
서울 강남구 언주로174길 26 1층 2호
(지번) 신사동 640-1
"
카페노티드 신사 옐로우바스켓 팝업,4.4,94,https://place.map.kakao.com/183425375,"
서울 강남구 압구정로10길 30-1 지하1층
(지번) 신사동 524-18
"
장스테이크하우스,4.3,28,https://place.map.kakao.com/14723734,"
서울 강남구 압구정로 314 5층
(지번) 신사동 639
"
스페인클럽 가로수길점,,32,https://place.map.kakao.com/10337547,"
서울 강남구 압구정로10길 26
(지번) 신사동 524-30
"
세광양대창 신사역가로수길점,3.4,103,https://place.map.kakao.com/1106494282,"
서울 강남구 도산대로1길 24 1층 102호
(지번) 신사동 510
"
달마시안,2.9,240,https://place.map.kakao.com/95300197,"
서울 강남구 압구정로42길 42
(지번) 신사동 634-17
"
저스트스테이크,3.2,29,https://place.map.kakao.com/8079815,"
서울 강남구 언주로152길 11-7
(지번) 신사동 631-16
"
행복추풍령칼삼겹살 압구정점,4.5,16,https://place.map.kakao.com/9474243,"
서울 강남구 도산대로51길 41
(지번) 신사동 657-21
"
소나,3.9,72,https://place.map.kakao.com/19834035,"
서울 강남구 강남대로162길 40 201호
(지번) 신사동 520-1
"
오레노유메 가로수길점,3.4,16,https://place.map.kakao.com/1309217753,"
서울 강남구 압구정로2길 59 1,2층
(지번) 신사동 515
"
미라이,3.8,74,https://place.map.kakao.com/255156070,"
서울 강남구 논현로153길 24 끌레르빌1 1층
(지번) 신사동 557-25
"
룽청,4.1,87,https://place.map.kakao.com/382166298,"
서울 강남구 논현로152길 23 알파빌딩 1층
(지번) 신사동 589-9
"
삼창교자,3.7,243,https://place.map.kakao.com/1728788067,"
서울 강남구 강남대로156길 33 1층
(지번) 신사동 517-34
"
스시인,3.6,84,https://place.map.kakao.com/2134471711,"
서울 강남구 압구정로42길 49 3층
(지번) 신사동 645-28
"
ING포차,3.3,32,https://place.map.kakao.com/12731848,"
서울 강남구 언주로170길 34
(지번) 신사동 642-13
"
갓포마코토,3.8,74,https://place.map.kakao.com/1246015370,"
서울 강남구 언주로168길 5 지미안빌딩 2층
(지번) 신사동 635-4
"
스시카이세이,3.6,68,https://place.map.kakao.com/2131412849,"
서울 강남구 언주로170길 8 1층
(지번) 신사동 635-8
"
크라운돼지,3.9,64,https://place.map.kakao.com/2057523686,"
서울 강남구 강남대로156길 17-1
(지번) 신사동 510-9
"
겟썸커피 신사점,3.7,41,https://place.map.kakao.com/102480277,"
서울 강남구 논현로159길 46-6 지하1층
(지번) 신사동 551-32
"
무니 압구정본점,3.4,70,https://place.map.kakao.com/762772674,"
서울 강남구 압구정로56길 16 1~4층
(지번) 신사동 664-22
"
e청우참치,4.5,25,https://place.map.kakao.com/8105143,"
서울 강남구 강남대로156길 18 1층
(지번) 신사동 511-6
"
수퍼판,3.9,49,https://place.map.kakao.com/26457126,"
서울 강남구 논현로167길 15 휴에프빌딩 2층
(지번) 신사동 570-3
"
그랑씨엘,3.4,64,https://place.map.kakao.com/8211704,"
서울 강남구 도산대로45길 16-6 1층
(지번) 신사동 650-22
"
김북순큰남비집 신사본점,3.7,77,https://place.map.kakao.com/23203958,"
서울 강남구 압구정로2길 15 신사아이빌 1층
(지번) 신사동 522
"
라그릴리아 청담점,3.1,37,https://place.map.kakao.com/1697931614,"
서울 강남구 도산대로 327 SGF 청담타워 2층
(지번) 신사동 652-16
"
가로수길공감,3.4,63,https://place.map.kakao.com/1503171998,"
서울 강남구 강남대로154길 41 1, 2층
(지번) 신사동 516-12
"
청담미역,4.1,5,https://place.map.kakao.com/1514808377,"
서울 강남구 압구정로20길 15 1층
(지번) 신사동 572-2
"
뱅가,4.3,46,https://place.map.kakao.com/7887337,"
서울 강남구 언주로168길 6 현담원빌딩 지하 1층
(지번) 신사동 634-1
"
