name|score_naver|count_naver|score_daum|count_daum|score_dining|count_dining|score_trip|count_trip|score_manggo|count_manggo|total_count|score_weighted
램브라튼|0.0|0|3.8|113|0.0|0|4.5|6|4.2|52|171|3.95
레더라 압구정점|0.0|0|4.0|24|0.0|0|0.0|0|0.0|0|24|4.0
레드클라우드|0.0|0|4.2|8|0.0|0|0.0|0|0.0|0|8|4.2
레이브릭스|0.0|0|3.3|36|0.0|0|0.0|0|0.0|0|36|3.3
로바다야끼최군|0.0|0|1.6|37|0.0|0|0.0|0|0.0|0|37|1.6
로바타탄요 압구정|0.0|0|3.9|86|0.0|0|0.0|0|0.0|0|86|3.9
로지|0.0|0|3.4|36|0.0|0|0.0|0|0.0|0|36|3.4
로프트|0.0|0|3.4|161|0.0|0|0.0|0|4.0|75|236|3.59
롤링파스타 가로수길점|0.0|0|4.1|98|0.0|0|0.0|0|0.0|0|98|4.1
롱타임노씨 신사점|0.0|0|4.0|124|0.0|0|0.0|0|0.0|0|124|4.0
갓포우오|0.0|0|4.0|176|0.0|0|0.0|0|0.0|0|176|4.0
루307|0.0|0|4.7|43|0.0|0|0.0|0|0.0|0|43|4.7
루비떡볶이|0.0|0|3.2|175|0.0|0|0.0|0|0.0|0|175|3.2
루위|0.0|0|3.3|248|0.0|0|0.0|0|0.0|0|248|3.3
룽청|0.0|0|4.1|87|0.0|0|0.0|0|0.0|0|87|4.1
르포트13|0.0|0|3.5|82|0.0|0|0.0|0|0.0|0|82|3.5
리김밥 압구정본점|0.0|0|3.2|25|0.0|0|0.0|0|0.0|0|25|3.2
리커테이션|0.0|0|4.3|171|0.0|0|0.0|0|4.3|13|184|4.3
리틀사이공 압구정본점|0.0|0|3.8|59|0.0|0|0.0|0|0.0|0|59|3.8
리틀인디아|0.0|0|4.6|35|0.0|0|0.0|0|0.0|0|35|4.6
마구로젠 신사점|0.0|0|4.3|61|0.0|0|0.0|0|0.0|0|61|4.3
마리모|0.0|0|3.5|5|0.0|0|0.0|0|0.0|0|5|3.5
마법갈비요술꼬치|0.0|0|3.4|51|0.0|0|0.0|0|0.0|0|51|3.4
마봉양꼬치 압구정점|0.0|0|4.0|14|0.0|0|0.0|0|0.0|0|14|4.0
마산옥|0.0|0|2.9|18|0.0|0|0.0|0|0.0|0|18|2.9
마치마치 가로수길점|0.0|0|2.9|28|0.0|0|0.0|0|0.0|0|28|2.9
마크레인커피|0.0|0|3.4|66|0.0|0|0.0|0|4.0|131|197|3.8
맥도날드 신사역점|0.0|0|3.0|17|0.0|0|0.0|0|0.0|0|17|3.0
맥도날드 압구정CGV점|0.0|0|2.2|13|0.0|0|0.0|0|0.0|0|13|2.2
메이드|0.0|0|3.8|137|0.0|0|4.5|10|0.0|0|147|3.85
명인등심 압구정직영점|0.0|0|4.3|41|0.0|0|0.0|0|0.0|0|41|4.3
모로미 도산공원점|0.0|0|4.2|57|0.0|0|0.0|0|0.0|0|57|4.2
모즈|0.0|0|3.1|11|0.0|0|0.0|0|4.1|20|31|3.75
모퉁이흑미김밥|0.0|0|5.0|5|0.0|0|0.0|0|0.0|0|5|5.0
몽고네|0.0|0|3.5|69|0.0|0|0.0|0|4.1|78|147|3.82
몽리|0.0|0|3.7|39|0.0|0|0.0|0|0.0|0|39|3.7
무교동유정낙지 압구정직영점|0.0|0|1.6|21|0.0|0|0.0|0|0.0|0|21|1.6
무니 압구정본점|0.0|0|3.4|70|0.0|0|0.0|0|0.0|0|70|3.4
무아|0.0|0|4.8|90|0.0|0|0.0|0|4.3|6|96|4.77
미노스|0.0|0|4.3|7|0.0|0|0.0|0|0.0|0|7|4.3
미라이|0.0|0|3.8|74|0.0|0|0.0|0|4.8|120|194|4.42
미미갈비|0.0|0|3.0|77|0.0|0|0.0|0|0.0|0|77|3.0
미방 압구정점|0.0|0|2.8|5|0.0|0|0.0|0|0.0|0|5|2.8
미켈러바|0.0|0|3.7|9|0.0|0|0.0|0|0.0|0|9|3.7
밀떡팩토리 본점|0.0|0|4.0|80|0.0|0|0.0|0|0.0|0|80|4.0
배스킨라빈스 세로수길점|0.0|0|5.0|27|0.0|0|0.0|0|0.0|0|27|5.0
뱅가|0.0|0|4.3|46|0.0|0|0.0|0|4.1|40|86|4.21
버터풀&크리멀러스|0.0|0|4.3|193|0.0|0|0.0|0|0.0|0|193|4.3
베이징덕|0.0|0|2.5|82|0.0|0|0.0|0|0.0|0|82|2.5
병철이네쪽갈비|0.0|0|3.6|50|0.0|0|0.0|0|0.0|0|50|3.6
보물선 신사본점|0.0|0|2.6|14|0.0|0|0.0|0|0.0|0|14|2.6
보바베어|0.0|0|3.4|8|0.0|0|0.0|0|0.0|0|8|3.4
보울룸|0.0|0|3.9|262|0.0|0|0.0|0|0.0|0|262|3.9
본태|0.0|0|3.3|128|0.0|0|0.0|0|0.0|0|128|3.3
부머스 도산점|0.0|0|2.3|73|0.0|0|0.0|0|0.0|0|73|2.3
불공장|0.0|0|2.9|46|0.0|0|0.0|0|0.0|0|46|2.9
붓처스컷 도산|0.0|0|0.0|37|0.0|0|0.0|0|0.0|0|37|0.0
브리오슈도레 압구정역점|0.0|0|3.2|15|0.0|0|0.0|0|0.0|0|15|3.2
비비드|0.0|0|3.8|87|0.0|0|0.0|0|0.0|0|87|3.8
비스트로스파크|0.0|0|4.1|25|0.0|0|0.0|0|0.0|0|25|4.1
비엔나커피하우스 압구정극동타워점|0.0|0|4.4|13|0.0|0|0.0|0|0.0|0|13|4.4
