name|tenCen|twoCen|threeCen|fourCen|fiveCen|sixCen|womanRatio|manRatio|gubun|score|visitCount|blogCount
김밥천국 건대2호점|25.0|93.265|84.039|71.128|57.2275|25.0|55|45|분식|4.46|288|31.0
능동샐러드|11.76470588|47.99623529|35.82776471|24.74917647|18.07905882|11.76470588|63|37|다이어트,샐러드|4.63|246|243.0
더이퀼리브리엄커피|25.0|96.1555|80.525|67.4915|47.833|25.0|57|43|카페|4.44|249|163.0
도단집별관|25.0|99.3355|82.4245|64.401|48.6885|25.0|45|55|육류,고기요리|4.57|85|59.0
동대문곱창|25.0|95.3245|78.7145|71.3485|55.6685|25.0|54|46|곱창,막창,양|4.49|261|97.0
만원수산 건대점|14.688|49.112|37.74423529|31.80070588|25.68282353|23.96047059|46|54|생선회|4.66|212|171.0
매드쉐프 떡볶이|25.0|89.847|79.3055|79.8955|60.0225|25.0|53|47|떡볶이|4.17|26|88.0
매화반점 본점|25.0|80.9885|84.8915|85.4075|74.2005|25.0|43|57|양꼬치|4.27|594|65.0
명륜진사갈비 자양점|25.0|83.468|76.404|80.3505|25.0|25.0|45|55|육류,고기요리|4.31|485|44.0
모지니|36.36894118|49.05058824|31.00211765|11.76470588|11.76470588|11.76470588|63|37|카페,디저트|4.52|122|108.0
무지개맥주 건대점|11.76470588|49.96329412|33.17694118|22.56870588|17.93882353|11.76470588|49|51|맥주,호프|4.64|139|62.0
미친쭈꾸미|25.0|99.715|85.641|63.2695|54.4865|25.0|51|49|주꾸미요리|4.98|377|88.0
밍지 황먼지 찜닭|11.76470588|47.28117647|33.59505882|23.53082353|11.76470588|11.76470588|51|49|찜닭|4.78|51|98.0
보라젤라또|11.76470588|47.38352941|35.26964706|22.68705882|11.76470588|11.76470588|58|42|아이스크림|4.85|177|93.0
블랙아웃커피|11.76470588|49.96329412|33.17694118|22.56870588|17.93882353|11.76470588|49|51|카페,디저트|4.64|23|20.0
수완카페앤베이커리|41.01082353|50.90352941|32.22094118|24.08329412|20.83458824|11.76470588|61|39|카페,디저트|4.16|379|102.0
스시오 건대점|26.01828571|33.70114286|18.376|23.61485714|15.10742857|7.704285714|42|58|일식,초밥뷔페|4.18|1110|1743.0
