name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
동무밥상,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_42%,남자_58%
목로관,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_45%,남자_55%
더피자보이즈 합정본점,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_52%,남자_48%
심야식당 하스,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_49%,남자_51%
연남어부,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_49%,남자_51%
꽈페 홍대점,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_61%,남자_39%
키친485,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_53%,남자_47%
일편등심,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_39%,남자_61%
오비야,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_53%,남자_47%
세상끝의라멘,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_46%,남자_54%
진진,25.00000000000001%_10|,98.34799999999996%_20|,84.86649999999997%_30|,50.290499999999994%_40|,25.00000000000001%_50|,25.00000000000001%_60|,여자_43%,남자_57%
