name,score,reviewCnt,category,address,url
보르 드 메르,4.0,1,프랑스 요리,서울 강남구 신사동 644-18,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3858680-Reviews-Bord_de_Mer-Seoul.html
오다리집 명동,4.5,183,아시아 요리,서울 중구 명동8나길 28 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3568808-Reviews-Odarijip_Myeongdong-Seoul.html
카페 앙 가로수길점,4.0,1,카페,서울 강남구 압구정로12길 32-6,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d6818433-Reviews-Cafe_An_Garosugil-Seoul.html
마히나 비건 테이블,5.0,2,이탈리아 요리,서울 강남구 논현로175길 75 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d20393039-Reviews-Mahina_Vegan_Table-Seoul.html
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1933588-Reviews-Wangbijib_Myeongdong_Main_Store-Seoul.html
오다리집 명동,4.5,183,아시아 요리,서울 중구 명동8나길 28 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3568808-Reviews-Odarijip_Myeongdong-Seoul.html
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1933588-Reviews-Wangbijib_Myeongdong_Main_Store-Seoul.html
마히나 비건 테이블,5.0,2,이탈리아 요리,서울 강남구 논현로175길 75 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d20393039-Reviews-Mahina_Vegan_Table-Seoul.html
아라도,3.0,1,일본 요리,"서울 강남구  신사동 577 다보빌딩 105 #105, Dabo Bldg.",https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d4072056-Reviews-Arado-Seoul.html
왕비집 명동 본점,4.0,450,한국,서울 중구 충무로2가 63-3 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d1933588-Reviews-Wangbijib_Myeongdong_Main_Store-Seoul.html
오다리집 명동,4.5,183,아시아 요리,서울 중구 명동8나길 28 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d3568808-Reviews-Odarijip_Myeongdong-Seoul.html
마히나 비건 테이블,5.0,2,이탈리아 요리,서울 강남구 논현로175길 75 2층,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d20393039-Reviews-Mahina_Vegan_Table-Seoul.html
제주도마,3.0,1,아시아 요리,서울 강남구 압구정로2길 49,https://www.tripadvisor.co.kr/Restaurant_Review-g294197-d13480403-Reviews-Jeju_Doma-Seoul.html
