name,tenCen,twoCen,threeCen,fourCen,fiveCen,sixCen,womanRatio,manRatio
쭈꾸미도사 부평삼산점,48.0185%_10|,92.23149999999998%_20|,84.47099999999999%_30|,86.12649999999996%_40|,73.68849999999996%_50|,70.18449999999996%_60|,여자_54%,남자_46%
향이랑,25.00000000000001%_10|,76.29049999999997%_20|,89.83999999999995%_30|,97.50549999999998%_40|,96.44249999999995%_50|,93.50299999999997%_60|,여자_49%,남자_51%
거궁 부평점,21.076333333333324%_10|,53.70499999999999%_20|,65.49466666666666%_30|,69.3963333333333%_40|,74.46533333333333%_50|,75.32266666666663%_60|,여자_50%,남자_50%
더히든키친,58.56849999999998%_10|,97.56399999999995%_20|,92.69399999999996%_30|,81.97799999999997%_40|,58.63199999999998%_50|,50.05849999999996%_60|,여자_55%,남자_45%
스시사쿠 부평,25.00000000000001%_10|,87.91449999999998%_20|,79.0175%_30|,78.44349999999997%_40|,67.095%_50|,58.71449999999998%_60|,여자_51%,남자_49%
추억닭발 본점,25.00000000000001%_10|,87.91449999999998%_20|,79.0175%_30|,78.44349999999997%_40|,67.095%_50|,58.71449999999998%_60|,여자_51%,남자_49%
헤세드스시뷔페,7.350285714285691%_10|,28.707999999999988%_20|,27.690857142857126%_30|,33.17599999999997%_40|,20.330285714285683%_50|,14.44628571428568%_60|,여자_42%,남자_58%
주문진대게회타운,18.64941176470588%_10|,41.53129411764706%_20|,44.714588235294116%_30|,49.73764705882353%_40|,43.75482352941175%_50|,40.85882352941175%_60|,여자_43%,남자_57%
디기티,25.00000000000001%_10|,98.47299999999994%_20|,90.29499999999999%_30|,68.701%_40|,46.949999999999974%_50|,25.00000000000001%_60|,여자_59%,남자_41%
뉴욕반점,52.23099999999998%_10|,87.91749999999995%_20|,88.44749999999998%_30|,85.96049999999997%_40|,75.13399999999994%_50|,72.46599999999994%_60|,여자_47%,남자_53%
차차커피코,41.11411764705881%_10|,50.483058823529404%_20|,41.090823529411765%_30|,34.33364705882352%_40|,22.40282352941175%_50|,16.872235294117637%_60|,여자_62%,남자_38%
빠레뜨한남 부평점,46.16517647058823%_10|,47.705411764705886%_20|,35.332235294117645%_30|,29.707294117647066%_40|,20.103764705882348%_50|,11.764705882352951%_60|,여자_59%,남자_41%
