,name,gubun,score,visitCount,blogCount
49,텍사스데브라질 압구정점,"스테이크,립",4.33/5,"방문자 리뷰_ 3,398",블로그 리뷰_ 619
50,한추,"맥주,호프",4.19/5,방문자 리뷰_ 811,"블로그 리뷰_ 1,670"
51,갓잇 도산공원점,"멕시코,남미음식",4.62/5,"방문자 리뷰_ 1,053",블로그 리뷰_ 614
52,맥주덕후 피자덕후,피자,4.92/5,방문자 리뷰_ 948,블로그 리뷰_ 620
53,오복수산 도산,일식당,4.44/5,방문자 리뷰_ 843,블로그 리뷰_ 956
54,효계,닭요리,4.53/5,방문자 리뷰_ 282,블로그 리뷰_ 340
55,압구정 곱창,"곱창,막창,양",4.61/5,방문자 리뷰_ 145,블로그 리뷰_ 567
56,에뚜왈,베이커리,4.49/5,"방문자 리뷰_ 1,216","블로그 리뷰_ 1,100"
57,청담돈,일식당,4.63/5,"방문자 리뷰_ 1,263","블로그 리뷰_ 1,017"
58,워커비,바(BAR),4.63/5,방문자 리뷰_ 24,블로그 리뷰_ 91
59,키친마이야르,양식,4.63/5,방문자 리뷰_ 309,블로그 리뷰_ 375
60,오리지널팬케이크하우스 가로수길점,양식,4.31/5,"방문자 리뷰_ 1,172","블로그 리뷰_ 1,187"
61,치즈룸 안다즈,이탈리아음식,4.58/5,"방문자 리뷰_ 5,571","블로그 리뷰_ 1,261"
62,온달집 본점,"육류,고기요리",4.44/5,방문자 리뷰_ 487,블로그 리뷰_ 837
63,웨이크앤베이크 청담,브런치,4.42/5,방문자 리뷰_ 747,블로그 리뷰_ 994
64,최가네버섯샤브매운탕칼국수,샤브샤브,4.55/5,방문자 리뷰_ 941,블로그 리뷰_ 876
65,이웃집통통이 로데오점,"카페,디저트",4.58/5,방문자 리뷰_ 284,블로그 리뷰_ 130
66,누데이크 하우스 도산,"카페,디저트",4.58/5,"방문자 리뷰_ 1,080","블로그 리뷰_ 1,446"
67,심퍼티쿠시 가로수길점,와인,4.58/5,방문자 리뷰_ 192,블로그 리뷰_ 316
68,SADDLER HAUS,와플,4.55/5,"방문자 리뷰_ 4,994","블로그 리뷰_ 2,569"
69,청초수물회 강남점,생선회,4.35/5,방문자 리뷰_ 817,블로그 리뷰_ 275
70,진도켄 이자카야,이자카야,5/5,방문자 리뷰_ 106,블로그 리뷰_ 105
71,ING,요리주점,4.22/5,방문자 리뷰_ 283,블로그 리뷰_ 100
72,은행골 신사점,"초밥,롤",4.22/5,"방문자 리뷰_ 1,722","블로그 리뷰_ 1,865"
73,모센즈스위트 신사점,"카페,디저트",4.22/5,방문자 리뷰_ 23,블로그 리뷰_ 30
74,어썸로즈,양식,4.77/5,"방문자 리뷰_ 3,135","블로그 리뷰_ 1,275"
75,소진담 신사점,"카페,디저트",4.49/5,"방문자 리뷰_ 2,655","블로그 리뷰_ 1,558"
76,피자네버슬립스,피자,4.52/5,방문자 리뷰_ 563,블로그 리뷰_ 663
77,로로,양식,4.4/5,방문자 리뷰_ 633,블로그 리뷰_ 912
78,온리고,양식,4.71/5,방문자 리뷰_ 887,블로그 리뷰_ 600
79,타르틴베이커리 도산점,베이커리,4.38/5,"방문자 리뷰_ 1,678",블로그 리뷰_ 824
80,파씨오네,프랑스음식,4.7/5,"방문자 리뷰_ 2,634",블로그 리뷰_ 895
81,우가,소고기구이,4.55/5,방문자 리뷰_ 744,블로그 리뷰_ 296
82,포레스트 청담,양식,4.99/5,방문자 리뷰_ 937,"블로그 리뷰_ 1,121"
