SHOP_CODE,SHOP_NAME,SHOP_CATEGORY,ADSTRD_CD,REGION_ID,SHOP_ADR
16603875,포메인레드,동남아음식전문점,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로28길 14
16876772,벨루치,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 강남대로158길 9
20395288,굴세상해초마을,굴요리전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 216
16606203,스시사카우,음식점-일식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로153길 10-6
16594743,패티앤베지스,패스트푸드,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로4길 11
16604805,나,음식점-초밥전문,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로 841
16608669,PS카페,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로49길 9
16603112,딜라이트,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 가로수길 31-3
25742343,현경,중국음식/중국집,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로 874
16947912,아베끄청담,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로 823
16602130,스시카이세이,음식점-초밥전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로170길 8
16595114,미연,기타일반유흥주점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로54길 14
16608491,소르비,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 압구정로2길 11
16603240,맘스터치,한식/백반/한정식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 논현로175길 18
23230615,젬스비어,호프/맥주,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로158길 31
16607290,압구정뚝떡,떡볶이전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 5-6
16607266,압구정곱떡,떡볶이전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로50길 28
25903676,까사밀,정통양식/경양식,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로1길 83
16600746,버터풀앤크리멀러스,제과점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로172길 59
16607803,토프,기타전문서양음식점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로153길 37
16607743,뷰티그로서리,기타전문서양음식점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 77
16602788,노이에아트멍,커피전문점/카페/다방,1168051000,서울특별시 강남구 신사동,서울특별시 강남구 도산대로23길 19
25749857,녹수,한식/백반/한정식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로46길 30
16599634,더플레이트디저트,빠/카페/스탠드빠,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 논현로 854
25832898,삼바그릴레스토랑,정통양식/경양식,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 압구정로 308
16599553,노모어피자,피자전문,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로164길 34-2
16606553,있을재,기타전문서양음식점,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 언주로168길 19
16599717,8DSEOUL,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 선릉로153길 37
16599662,ASSOULINE,커피전문점/카페/다방,1168054500,서울특별시 강남구 신사동,서울특별시 강남구 도산대로45길 11
