STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_FLPOP_CO,ML_FLPOP_CO,FML_FLPOP_CO,AGRDE_10_FLPOP_CO,AGRDE_20_FLPOP_CO,AGRDE_30_FLPOP_CO,AGRDE_40_FLPOP_CO,AGRDE_50_FLPOP_CO,AGRDE_60_ABOVE_FLPOP_CO,TMZON_1_FLPOP_CO,TMZON_2_FLPOP_CO,TMZON_3_FLPOP_CO,TMZON_4_FLPOP_CO,TMZON_5_FLPOP_CO,TMZON_6_FLPOP_CO,MON_FLPOP_CO,TUES_FLPOP_CO,WED_FLPOP_CO,THUR_FLPOP_CO,FRI_FLPOP_CO,SAT_FLPOP_CO,SUN_FLPOP_CO
2021,4,A,골목상권,2110926,신중초등학교,1095698,521887,573810,259111,148715,163055,207708,139446,177663,299649,237288,138983,129872,155562,134345,161410,167417,167417,164139,160668,139565,139088
2021,4,A,골목상권,2110925,서초중학교,638776,316541,322235,136838,85232,88077,113813,92222,122591,205348,144174,71008,62914,78224,77109,91997,90533,90533,91384,90030,89423,94061
2021,4,A,골목상권,2110924,반포4동주민센터(몽마르뜨공원),569615,242690,326925,98039,66148,87732,110599,83388,123709,131724,123603,78150,78682,91286,66168,81081,83590,83590,83608,83448,78142,75919
2021,4,A,골목상권,2110923,방배역 1번,76937,36891,40045,11531,10940,12397,12208,11652,18207,12759,17009,12604,12482,14832,7251,10860,11441,11441,11206,11043,10410,10496
2021,4,A,골목상권,2110922,내방역 1번,930740,411136,519604,157465,118429,158299,146539,126250,223757,257311,201427,110535,107645,140437,113387,133329,134274,134274,136365,133545,128730,130800
2021,4,A,골목상권,2110921,서울프랑스학교,514101,235082,279018,120453,52655,61095,103769,74028,102100,160950,116707,57338,54307,67566,57236,74015,76070,76070,74763,72653,71742,70849
2021,4,A,골목상권,2110920,방배역 2번(백석예술대학교),27803,13643,14160,3859,4435,4583,4226,4541,6160,5339,6320,3702,3769,5403,3272,3981,4255,4255,4171,4081,3666,3461
2021,4,A,골목상권,2110919,내방역 8번,843215,387134,456081,137598,106381,125609,155806,137845,179974,243526,174853,94789,93636,127697,108714,121513,121725,121725,121000,121118,117963,118179
2021,4,A,골목상권,2110918,방배역 3번,935460,442979,492481,147915,144165,166720,161796,121574,193290,266083,199458,105812,103796,143126,117186,136480,138418,138418,136645,133888,127696,126047
2021,4,A,골목상권,2110917,서초소방서,90025,41114,48912,20059,7751,11917,16110,14362,19825,29398,19794,9089,8566,11498,11680,12809,12749,12749,12776,12273,12960,13686
2021,4,A,골목상권,2110916,내방역 4번,837173,388241,448933,159761,119025,149640,147720,107165,153863,189440,174167,111457,112347,147677,102086,122874,126132,126132,124177,122374,109095,107932
2021,4,A,골목상권,2110915,서래초등학교,175143,78219,96924,39240,15515,21595,32161,28600,38034,35824,36716,23595,24650,32829,21529,25114,25152,25152,25489,25235,24606,24521
2021,4,A,골목상권,2110914,내방역 6번,152243,69920,82324,24493,21292,26949,28902,21611,28996,45217,31879,16765,16664,21933,19783,22175,22350,22350,22374,22272,20606,20045
2021,4,A,골목상권,2110913,방현초등학교(방배119안전센터),1034311,464162,570150,205620,119323,132417,168384,167148,241420,301684,239182,124050,112226,133913,123258,151867,154470,154470,153703,150390,135018,134323
2021,4,A,골목상권,2110912,방배동사이길,222624,99689,122935,50832,20178,28810,42244,31717,48842,33944,46228,34801,37107,45919,24626,32293,32151,32151,32444,32034,30968,30521
2021,4,A,골목상권,2110911,방배배수지체육공원,4205,1880,2325,805,519,599,692,648,941,967,1062,594,554,597,432,625,642,642,634,624,534,504
2021,4,A,골목상권,2110910,내방역 5번,367106,169213,197894,71541,47231,61626,70929,47197,68584,108460,76643,40279,38092,52721,50912,52974,52896,52896,53003,52113,50749,51810
2021,4,A,골목상권,2110909,남태령역(서울전자고등학교),54926,30252,24673,4622,11413,8665,8501,7123,14602,8570,13517,7777,8378,10378,6305,7554,7828,7828,8034,7778,7991,7770
2021,4,A,골목상권,2110908,구반포역,79386,36794,42591,15450,8724,8368,15766,14081,16998,12786,19065,13149,12751,14392,7241,11501,11563,11563,11836,11823,11078,9940
2021,4,A,골목상권,2110907,방배초등학교,842904,359521,483383,174229,104815,118785,143089,122195,179792,214931,175052,103631,102190,141605,105495,120553,120477,120477,118337,120793,120639,123082
2021,4,A,골목상권,2110906,서문여고,577655,253179,324477,127024,66741,77179,110166,81665,114882,151352,115645,69773,73180,94830,72876,84461,84402,84402,81847,84263,80466,79416
2021,4,A,골목상권,2110905,방배노인종합복지관(이수중학교),414481,178727,235753,72252,54296,65597,66634,53984,101716,142997,95698,38846,35499,50831,50612,58839,57985,57985,56791,57336,61324,63731
2021,4,A,골목상권,2110904,이수역 5번,217720,96967,120752,40755,28916,39605,36897,31544,40004,28759,43117,36762,39746,46409,22927,31453,32381,32381,32310,31596,28664,28731
2021,4,A,골목상권,2110903,방배아이파크아파트,723798,307463,416333,173448,82493,84917,137490,102625,142823,211999,147963,81504,78761,107911,95660,105388,104213,104213,104463,104779,100980,99257
2021,4,A,골목상권,2110902,사당역 4번,2895140,1338058,1557082,339583,533023,523654,399700,409317,689862,823304,613444,313611,308848,457512,378423,412824,406919,406919,403203,402357,426286,438755
2021,4,A,골목상권,2110901,인헌고등학교(인헌중학교),1194638,538110,656529,152614,219104,225945,174880,166928,255166,356583,243785,121330,117719,183781,171441,169714,166018,166018,164287,163132,178734,186749
2021,4,A,골목상권,2110900,낙성대역 1번(관악구민 종합체육센터),1778378,839455,938923,190380,458326,382660,250343,180284,316385,520597,374835,180152,178245,277127,247420,252456,250007,250007,250594,250392,260140,265436
2021,4,A,골목상권,2110899,낙성대역 5번(관악중학교),861165,414203,446962,69147,258282,213420,105333,79778,135203,279225,188161,82796,76191,118373,116419,121478,120550,120550,120175,118718,127495,134388
2021,4,A,골목상권,2110898,청림동주민센터(상도중학교),652901,300628,352273,122315,76039,92471,107173,88475,166428,212427,128779,58855,57681,95475,99684,93609,91200,91200,90303,91178,95957,100068
2021,4,A,골목상권,2110897,서울대입구역 8번,1359714,652701,707012,144024,368462,297848,169428,141511,238440,406388,280373,147600,143165,201796,180390,192888,190561,190561,188705,188824,202174,207451
2021,4,A,골목상권,2110896,관악우성아파트,246324,114631,131692,37411,38663,38095,36415,32300,63439,56090,49607,32403,33065,43996,31166,35739,35792,35792,35652,35651,34466,33723
2021,4,A,골목상권,2110895,샤로수길,3428705,1653633,1775071,416837,1048555,666103,435111,360470,501630,831055,681783,413794,410606,637604,453864,477730,478930,478930,483950,487782,509085,510690
2021,4,A,골목상권,2110894,관악동부센트레빌아파트(은천로35라길),310587,144171,166416,46856,47922,50843,51794,39907,73267,103851,64666,29113,26401,41268,45288,44883,44024,44024,43227,43527,44998,46115
2021,4,A,골목상권,2110893,관악소방서(문영여고),65900,29803,36097,11498,14475,12003,8609,7950,11366,22762,16022,6663,5421,6706,8326,9614,9756,9756,9757,9416,8774,8797
2021,4,A,골목상권,2110892,관악구 중앙길,4432515,2100786,2331729,433916,1137774,893379,584495,538070,844880,1225981,904130,474228,485142,739097,603938,629328,621782,621782,623170,623786,654119,657129
2021,4,A,골목상권,2110891,구암초등학교,186026,83468,102559,42213,19315,26341,33768,23562,40828,41686,36471,22999,24234,35445,25191,26574,26325,26325,26152,26364,26986,27832
2021,4,A,골목상권,2110890,봉천역 1번(관악초등학교),830087,393739,436347,71868,243317,161106,96701,91068,166027,234469,170058,88488,86739,135259,115075,116857,115095,115095,115671,115757,122861,127911
2021,4,A,골목상권,2110889,봉천역 6번,647237,302301,344935,69967,105765,106792,102021,87647,175045,201816,145444,64417,59845,91532,84183,91727,90647,90647,90081,90272,96001,98883
2021,4,A,골목상권,2110888,청룡동주민센터,564605,270504,294100,58332,136497,106748,73823,68409,120796,146360,112565,63683,65222,98967,77812,80298,79493,79493,79003,78672,82967,85547
2021,4,A,골목상권,2110887,서울산업정보학교(서울삼성초등학교),481767,268085,213682,72656,148200,86524,61157,47673,65557,118715,105889,63780,59371,75198,58814,68585,70168,70168,69520,68392,66891,68330
2021,4,A,골목상권,2110886,관악해태어린이공원,980037,589127,390911,96755,319651,209719,132695,88109,133109,289042,213531,107268,102238,141167,126790,139986,138002,138002,136384,134709,143525,149936
2021,4,A,골목상권,2110885,영락고등학교,1331513,665097,666417,132296,268296,266097,187599,171812,305414,425258,282268,127667,122765,187449,186106,188395,184371,184371,183199,183366,199845,208417
2021,4,A,골목상권,2110884,봉천역 4번(봉천110안전센터),639672,309424,330249,66625,124066,115476,96985,91939,144583,147328,122693,72176,77512,126970,92993,91691,90490,90490,90917,90318,93227,93506
2021,4,A,골목상권,2110883,은천초등학교(은천교앞),957218,473505,483713,85383,212561,190591,140947,125372,202363,238851,191772,107955,112392,171161,135088,134960,132668,132668,133204,132068,144246,148676
2021,4,A,골목상권,2110882,신성초등학교,1236583,703455,533128,112950,329702,250873,171228,144510,227320,353376,257621,131713,131164,193911,168798,176715,174684,174684,174261,172198,180014,184652
2021,4,A,골목상권,2110881,구립대학경로당(관악산샘말공원),4519152,2768310,1750843,289550,1333559,991755,713380,504832,686074,1216039,903146,512542,512804,761145,613475,646036,638795,638795,641473,634778,651309,664151
2021,4,A,골목상권,2110880,신림역 1번,511863,256922,254940,31798,160338,107311,64410,57323,90684,172890,113438,48793,43255,63222,70264,73111,74421,74421,74683,72834,72248,70297
2021,4,A,골목상권,2110879,신림현대아파트,335529,168069,167459,28342,67660,59655,48510,49964,81398,87795,65376,38017,39134,58315,46892,47817,47326,47326,47411,47000,49555,49685
2021,4,A,골목상권,2110878,미림여고,638064,365330,272732,63792,128878,119645,110901,85517,129329,218559,148936,61624,51561,76848,80536,92830,90648,90648,90929,89945,89216,93040
2021,4,A,골목상권,2110877,신림역 8번,1262378,654977,607400,70383,378529,286418,164216,146937,215896,328085,252861,144338,145258,218072,173764,178038,175992,175992,175780,175568,188421,192768
2021,4,A,골목상권,2110876,서원동주민센터(신관중학교),582384,293055,289329,61827,136694,119209,67861,72845,123950,159686,120881,62861,62962,95315,80680,82327,81851,81851,80387,81424,86129,87232
2021,4,A,골목상권,2110875,보라매동주민센터(당곡고등학교),366937,171241,195696,46325,71925,73573,51186,39584,84342,125737,78856,33763,30858,47232,50490,52669,51216,51216,50564,50031,54906,57953
2021,4,A,골목상권,2110874,원신초등학교(구세군관악영문교회),1020929,520685,500244,105666,178737,148660,148534,144269,295065,254555,194052,118040,119909,188696,145677,146563,146232,146232,145500,145415,144791,145474
2021,4,A,골목상권,2110873,당곡중학교,547460,265682,281777,62787,98542,101227,89315,73959,121629,147155,117221,66022,63836,84340,68884,79023,78731,78731,78101,77141,77120,79296
